SID,ServiceStatus,ServiceName,ServiceAddress,ServiceEmail,ServiceWeb,ServiceTelephone,DateLastUpdated,rmade,raccepted,rcompleted
1,active,a,0,0,0,0,10/06/2022,279,201,174
2,active,b,1,1,1,0,17/08/2021,369,347,254
3,active,c,1,0,0,0,04/02/2021,209,164,101
4,active,d,1,1,1,1,26/09/2021,295,211,146
5,active,a,1,0,0,0,23/05/2021,443,362,267
6,active,b,1,0,0,0,06/09/2022,450,399,313
7,active,c,1,1,1,0,12/07/2022,319,279,222
8,active,d,1,0,0,0,09/07/2022,327,320,233
9,active,a,1,1,1,1,03/05/2022,277,217,137
10,active,b,1,0,0,0,11/12/2021,344,311,311
11,active,c,0,0,1,1,06/11/2022,122,93,89
12,active,d,0,1,1,0,19/01/2021,235,159,88
13,active,a,0,0,0,1,29/04/2022,480,430,375
14,active,a,1,0,1,1,03/03/2021,108,26,0
15,active,b,0,0,1,1,19/09/2021,232,226,210
16,active,c,1,1,1,1,06/08/2022,230,190,133
17,active,d,0,0,0,0,03/03/2022,2,0,0
18,active,a,1,1,0,0,05/02/2022,149,77,3
19,active,b,1,1,1,0,19/12/2022,186,109,29
20,active,c,0,0,1,1,08/09/2022,429,382,293
21,active,d,0,0,1,0,05/11/2022,361,344,269
22,active,a,0,0,1,0,15/02/2021,343,317,284
23,active,b,1,1,0,1,14/07/2021,214,201,164
24,active,c,1,0,1,0,15/07/2022,65,16,0
25,active,d,1,0,1,0,08/05/2022,417,383,330
26,active,a,0,1,1,0,25/02/2022,123,51,49
27,active,a,0,0,0,1,02/04/2022,288,243,199
28,active,b,1,0,0,1,01/09/2022,30,0,0
29,active,c,1,1,1,1,11/06/2022,66,0,0
30,active,d,0,0,1,0,04/09/2022,407,364,311
31,active,a,0,0,0,1,19/10/2022,380,363,362
32,active,b,1,0,1,1,09/05/2022,292,233,205
33,active,c,1,0,1,0,18/06/2021,471,442,353
34,active,d,0,1,0,0,01/10/2022,371,275,254
35,active,a,0,0,1,0,28/11/2021,222,182,152
36,active,b,0,0,0,0,02/09/2022,254,174,76
37,active,c,1,1,0,1,15/09/2022,215,198,153
38,active,d,1,0,0,0,17/04/2021,356,302,234
39,active,a,0,1,1,0,25/07/2022,174,152,148
40,active,a,0,0,0,0,08/02/2021,436,373,313
